,date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
0,2020-03-13,钻石公主号邮轮,,,,,,697,0,388,7
1,2020-03-13,波黑,,,,,,11,0,0,0
2,2020-03-13,圣马丁,,,,,,2,0,0,0
3,2020-03-13,蒙古,,,,,,1,0,0,0
4,2020-03-13,格恩西岛,,,,,,1,0,0,0
5,2020-03-13,安道尔,AD,,,,,2,0,1,0
6,2020-03-13,阿联酋,AE,,,,,85,0,20,0
7,2020-03-13,阿富汗,AF,,,,,7,0,0,0
8,2020-03-13,阿尔巴尼亚,AL,,,,,15,0,0,1
9,2020-03-13,亚美尼亚,AM,,,,,4,0,0,0
10,2020-03-13,阿根廷,AR,,,,,31,0,0,1
11,2020-03-13,奥地利,AT,,,,,428,0,4,1
12,2020-03-13,澳大利亚,AU,,,,,160,0,24,3
13,2020-03-13,阿塞拜疆,AZ,,,,,15,0,3,1
14,2020-03-13,孟加拉国,BD,,,,,3,0,0,0
15,2020-03-13,比利时,BE,,,,,399,0,1,3
16,2020-03-13,布基纳法索,BF,,,,,2,0,0,0
17,2020-03-13,保加利亚,BG,,,,,23,0,0,1
18,2020-03-13,巴林,BH,,,,,210,0,35,0
19,2020-03-13,圣巴泰勒米,BL,,,,,1,0,0,0
20,2020-03-13,文莱,BN,,,,,37,0,0,0
21,2020-03-13,玻利维亚,BO,,,,,2,0,0,0
22,2020-03-13,巴西,BR,,,,,77,0,0,0
23,2020-03-13,不丹,BT,,,,,1,0,0,0
24,2020-03-13,白俄罗斯,BY,,,,,12,0,3,0
25,2020-03-13,加拿大,CA,,,,,158,0,11,1
26,2020-03-13,刚果（金）,CD,,,,,2,0,0,0
27,2020-03-13,瑞士,CH,,,,,1135,0,4,7
28,2020-03-13,科特迪瓦,CI,,,,,1,0,0,0
29,2020-03-13,智利,CL,,,,,33,0,0,0
30,2020-03-13,喀麦隆,CM,,,,,2,0,0,0
546,2020-03-13,哥伦比亚,CO,,,,,9,0,0,0
547,2020-03-13,哥斯达黎加,CR,,,,,22,0,0,0
548,2020-03-13,古巴,CU,,,,,4,0,0,0
549,2020-03-13,塞浦路斯,CY,,,,,10,0,0,0
550,2020-03-13,捷克,CZ,,,,,117,0,0,0
551,2020-03-13,德国,DE,,,,,3117,0,46,7
552,2020-03-13,丹麦,DK,,,,,788,0,1,0
553,2020-03-13,多米尼加,DO,,,,,5,0,0,0
554,2020-03-13,阿尔及利亚,DZ,,,,,26,0,10,2
555,2020-03-13,厄瓜多尔,EC,,,,,17,0,0,0
556,2020-03-13,爱沙尼亚,EE,,,,,41,0,0,0
557,2020-03-13,埃及,EG,,,,,80,0,20,2
558,2020-03-13,西班牙,ES,,,,,4209,0,189,120
559,2020-03-13,埃塞俄比亚,ET,,,,,1,0,0,0
560,2020-03-13,芬兰,FI,,,,,155,0,1,0
561,2020-03-13,法罗群岛,FO,,,,,2,0,0,0
562,2020-03-13,法国,FR,,,,,2876,0,12,61
563,2020-03-13,加蓬,GA,,,,,1,0,0,0
564,2020-03-13,英国,GB,,,,,798,0,19,10
565,2020-03-13,格鲁吉亚,GE,,,,,24,0,0,0
566,2020-03-13,法属圭亚那,GF,,,,,5,0,0,0
567,2020-03-13,加纳,GH,,,,,2,0,0,0
568,2020-03-13,直布罗陀,GI,,,,,1,0,0,0
569,2020-03-13,几内亚,GN,,,,,1,0,0,0
570,2020-03-13,希腊,GR,,,,,134,0,0,1
571,2020-03-13,圭亚那,GY,,,,,1,0,0,1
572,2020-03-13,洪都拉斯,HN,,,,,2,0,0,0
573,2020-03-13,克罗地亚,HR,,,,,31,0,0,0
574,2020-03-13,匈牙利,HU,,,,,16,0,0,0
575,2020-03-13,印度尼西亚,ID,,,,,69,0,2,2
576,2020-03-13,爱尔兰,IE,,,,,70,0,0,1
577,2020-03-13,以色列,IL,,,,,126,0,4,0
578,2020-03-13,印度,IN,,,,,81,0,4,1
579,2020-03-13,伊拉克,IQ,,,,,83,0,24,8
580,2020-03-13,伊朗,IR,,,,,11364,0,3529,514
581,2020-03-13,冰岛,IS,,,,,117,0,1,0
582,2020-03-13,意大利,IT,,,,,15385,0,1258,1016
583,2020-03-13,牙买加,JM,,,,,1,0,0,0
584,2020-03-13,约旦,JO,,,,,1,0,0,0
585,2020-03-13,日本,JP,,,,,724,0,123,21
586,2020-03-13,肯尼亚,KE,,,,,1,0,0,0
587,2020-03-13,柬埔寨,KH,,,,,5,0,1,0
588,2020-03-13,韩国,KR,,,,,7979,0,510,72
589,2020-03-13,科威特,KW,,,,,100,0,5,0
590,2020-03-13,哈萨克斯坦,KZ,,,,,3,0,0,0
591,2020-03-13,黎巴嫩,LB,,,,,77,0,1,3
592,2020-03-13,列支敦士登,LI,,,,,4,0,0,0
593,2020-03-13,斯里兰卡,LK,,,,,3,0,1,0
594,2020-03-13,立陶宛,LT,,,,,3,0,0,0
595,2020-03-13,卢森堡,LU,,,,,19,0,0,0
596,2020-03-13,拉脱维亚,LV,,,,,16,0,1,0
597,2020-03-13,摩洛哥,MA,,,,,6,0,0,1
598,2020-03-13,摩纳哥,MC,,,,,2,0,0,0
599,2020-03-13,摩尔多瓦,MD,,,,,6,0,0,0
600,2020-03-13,北马其顿,MK,,,,,9,0,0,0
601,2020-03-13,马提尼克,MQ,,,,,3,0,0,0
602,2020-03-13,马耳他,MT,,,,,6,0,0,0
603,2020-03-13,马尔代夫,MV,,,,,8,0,0,0
604,2020-03-13,墨西哥,MX,,,,,15,0,4,0
605,2020-03-13,马来西亚,MY,,,,,197,0,32,0
606,2020-03-13,尼日利亚,NG,,,,,2,0,0,0
607,2020-03-13,荷兰,NL,,,,,804,0,0,5
608,2020-03-13,挪威,NO,,,,,895,0,1,1
609,2020-03-13,尼泊尔,NP,,,,,1,0,1,0
610,2020-03-13,新西兰,NZ,,,,,5,0,0,0
611,2020-03-13,阿曼,OM,,,,,19,0,9,0
612,2020-03-13,巴拿马,PA,,,,,11,0,0,1
613,2020-03-13,秘鲁,PE,,,,,22,0,0,0
614,2020-03-13,法属波利尼西亚,PF,,,,,1,0,0,0
615,2020-03-13,菲律宾,PH,,,,,64,0,2,5
