,date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
0,2020-03-16,钻石公主号邮轮,,,,,,712,0,458,7
1,2020-03-16,波黑,,,,,,24,0,0,0
2,2020-03-16,圣马丁,,,,,,2,0,0,0
3,2020-03-16,泽西岛,,,,,,2,0,0,0
4,2020-03-16,蒙古,,,,,,1,0,0,0
5,2020-03-16,格恩西岛,,,,,,1,0,0,0
6,2020-03-16,毛利塔尼亚,,,,,,1,0,0,0
7,2020-03-16,荷属安的列斯,,,,,,1,0,0,0
8,2020-03-16,安道尔,AD,,,,,2,0,1,0
9,2020-03-16,阿联酋,AE,,,,,98,0,26,0
10,2020-03-16,阿富汗,AF,,,,,21,0,0,0
11,2020-03-16,安提瓜和巴布达,AG,,,,,1,0,0,0
12,2020-03-16,阿尔巴尼亚,AL,,,,,42,0,0,1
13,2020-03-16,亚美尼亚,AM,,,,,28,0,0,0
14,2020-03-16,阿根廷,AR,,,,,45,0,1,2
15,2020-03-16,奥地利,AT,,,,,1018,0,6,2
16,2020-03-16,澳大利亚,AU,,,,,375,0,27,5
17,2020-03-16,阿鲁巴,AW,,,,,2,0,0,0
18,2020-03-16,阿塞拜疆,AZ,,,,,25,0,6,1
19,2020-03-16,孟加拉国,BD,,,,,8,0,2,0
20,2020-03-16,比利时,BE,,,,,1058,0,1,5
21,2020-03-16,布基纳法索,BF,,,,,15,0,0,0
22,2020-03-16,保加利亚,BG,,,,,51,0,0,2
23,2020-03-16,巴林,BH,,,,,221,0,60,1
24,2020-03-16,贝宁,BJ,,,,,1,0,0,0
25,2020-03-16,圣巴泰勒米,BL,,,,,1,0,0,0
26,2020-03-16,文莱,BN,,,,,50,0,0,0
27,2020-03-16,玻利维亚,BO,,,,,10,0,0,0
28,2020-03-16,巴西,BR,,,,,203,0,1,0
29,2020-03-16,巴哈马,BS,,,,,1,0,0,0
30,2020-03-16,不丹,BT,,,,,1,0,0,0
31,2020-03-16,白俄罗斯,BY,,,,,27,0,3,0
