,date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
0,2020-06-10,钻石公主号邮轮,,,,,,712,0,653,13
1,2020-06-10,圣马丁,,,,,,77,0,61,15
2,2020-06-10,荷属安的列斯,,,,,,21,0,15,1
3,2020-06-10,安道尔,AD,,,,,852,0,757,51
4,2020-06-10,阿联酋,AE,,,,,39904,0,22740,283
5,2020-06-10,阿富汗,AF,,,,,22142,0,3013,405
6,2020-06-10,安提瓜和巴布达,AG,,,,,26,0,20,3
7,2020-06-10,安圭拉,AI,,,,,3,0,3,0
8,2020-06-10,阿尔巴尼亚,AL,,,,,1341,0,980,34
9,2020-06-10,亚美尼亚,AM,,,,,14103,0,5226,227
10,2020-06-10,安哥拉,AO,,,,,96,0,38,4
11,2020-06-10,阿根廷,AR,,,,,24761,0,7568,717
12,2020-06-10,奥地利,AT,,,,,17005,0,15910,673
13,2020-06-10,澳大利亚,AU,,,,,7276,0,6744,102
14,2020-06-10,阿鲁巴,AW,,,,,101,0,98,3
15,2020-06-10,阿塞拜疆,AZ,,,,,8191,0,4606,98
16,2020-06-10,波黑,BA,,,,,2775,0,2063,161
17,2020-06-10,巴巴多斯,BB,,,,,92,0,81,7
18,2020-06-10,孟加拉国,BD,,,,,74865,0,15900,1012
19,2020-06-10,比利时,BE,,,,,59569,0,16392,9629
20,2020-06-10,布基纳法索,BF,,,,,891,0,765,53
21,2020-06-10,保加利亚,BG,,,,,2889,0,1623,167
22,2020-06-10,巴林,BH,,,,,16200,0,11109,30
23,2020-06-10,布隆迪,BI,,,,,83,0,45,1
24,2020-06-10,贝宁,BJ,,,,,305,0,188,4
25,2020-06-10,圣巴泰勒米,BL,,,,,6,0,6,0
26,2020-06-10,百慕大,BM,,,,,141,0,120,9
27,2020-06-10,文莱,BN,,,,,141,0,138,2
28,2020-06-10,玻利维亚,BO,,,,,14644,0,2190,487
29,2020-06-10,巴西,BR,,,,,742084,0,325602,38497
30,2020-06-10,巴哈马,BS,,,,,103,0,64,11
31,2020-06-10,不丹,BT,,,,,59,0,17,0
32,2020-06-10,博茨瓦纳,BW,,,,,42,0,24,1
33,2020-06-10,白俄罗斯,BY,,,,,51066,0,25667,288
34,2020-06-10,伯利兹,BZ,,,,,20,0,16,2
35,2020-06-10,加拿大,CA,,,,,96653,0,55572,7897
36,2020-06-10,刚果（金）,CD,,,,,4390,0,565,96
37,2020-06-10,中非,CF,,,,,1888,0,38,5
38,2020-06-10,刚果（布）,CG,,,,,728,0,221,24
39,2020-06-10,瑞士,CH,,,,,31011,0,28700,1934
40,2020-06-10,科特迪瓦,CI,,,,,3995,0,2045,38
41,2020-06-10,智利,CL,,,,,142759,0,95631,2283
42,2020-06-10,喀麦隆,CM,,,,,8681,0,4836,212
581,2020-06-10,哥伦比亚,CO,,,,,42078,0,16534,1372
582,2020-06-10,哥斯达黎加,CR,,,,,1375,0,717,11
583,2020-06-10,古巴,CU,,,,,2211,0,1886,83
584,2020-06-10,佛得角,CV,,,,,615,0,294,5
585,2020-06-10,塞浦路斯,CY,,,,,972,0,807,18
586,2020-06-10,捷克,CZ,,,,,9763,0,7057,330
587,2020-06-10,德国,DE,,,,,187091,0,172297,8918
588,2020-06-10,吉布提,DJ,,,,,4331,0,2139,34
589,2020-06-10,丹麦,DK,,,,,12201,0,11049,593
