,date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
0,2020-06-07,钻石公主号邮轮,,,,,,712,0,653,13
1,2020-06-07,圣马丁,,,,,,77,0,60,15
2,2020-06-07,荷属安的列斯,,,,,,21,0,15,1
3,2020-06-07,安道尔,AD,,,,,852,0,738,51
4,2020-06-07,阿联酋,AE,,,,,38808,0,21806,276
5,2020-06-07,阿富汗,AF,,,,,20342,0,1875,357
6,2020-06-07,安提瓜和巴布达,AG,,,,,26,0,19,3
7,2020-06-07,安圭拉,AI,,,,,3,0,3,0
8,2020-06-07,阿尔巴尼亚,AL,,,,,1232,0,925,34
9,2020-06-07,亚美尼亚,AM,,,,,13130,0,4014,200
10,2020-06-07,安哥拉,AO,,,,,88,0,24,4
11,2020-06-07,阿根廷,AR,,,,,22020,0,6180,648
12,2020-06-07,奥地利,AT,,,,,16898,0,15789,672
13,2020-06-07,澳大利亚,AU,,,,,7259,0,6703,102
14,2020-06-07,阿鲁巴,AW,,,,,101,0,98,3
15,2020-06-07,阿塞拜疆,AZ,,,,,7239,0,4024,84
16,2020-06-07,波黑,BA,,,,,2606,0,1968,159
17,2020-06-07,巴巴多斯,BB,,,,,92,0,76,7
18,2020-06-07,孟加拉国,BD,,,,,65769,0,13903,888
19,2020-06-07,比利时,BE,,,,,59226,0,16291,9595
20,2020-06-07,布基纳法索,BF,,,,,888,0,760,53
21,2020-06-07,保加利亚,BG,,,,,2711,0,1545,160
22,2020-06-07,巴林,BH,,,,,14383,0,9056,25
23,2020-06-07,布隆迪,BI,,,,,83,0,45,1
24,2020-06-07,贝宁,BJ,,,,,261,0,151,3
25,2020-06-07,圣巴泰勒米,BL,,,,,6,0,6,0
26,2020-06-07,百慕大,BM,,,,,141,0,113,9
27,2020-06-07,文莱,BN,,,,,141,0,138,2
28,2020-06-07,玻利维亚,BO,,,,,13358,0,1902,454
29,2020-06-07,巴西,BR,,,,,676494,0,302084,36044
30,2020-06-07,巴哈马,BS,,,,,103,0,62,11
31,2020-06-07,不丹,BT,,,,,48,0,11,0
32,2020-06-07,博茨瓦纳,BW,,,,,40,0,23,1
33,2020-06-07,白俄罗斯,BY,,,,,48630,0,23647,269
34,2020-06-07,伯利兹,BZ,,,,,19,0,16,2
35,2020-06-07,加拿大,CA,,,,,95057,0,53614,7773
36,2020-06-07,刚果（金）,CD,,,,,3878,0,537,82
37,2020-06-07,中非,CF,,,,,1570,0,34,5
38,2020-06-07,刚果（布）,CG,,,,,683,0,210,22
39,2020-06-07,瑞士,CH,,,,,30956,0,28600,1921
40,2020-06-07,科特迪瓦,CI,,,,,3557,0,1750,36
41,2020-06-07,智利,CL,,,,,127745,0,95631,1541
42,2020-06-07,喀麦隆,CM,,,,,7599,0,4587,212
581,2020-06-07,哥伦比亚,CO,,,,,38027,0,14382,1205
582,2020-06-07,哥斯达黎加,CR,,,,,1263,0,701,10
583,2020-06-07,古巴,CU,,,,,2173,0,1855,83
584,2020-06-07,佛得角,CV,,,,,542,0,240,6
585,2020-06-07,塞浦路斯,CY,,,,,960,0,807,18
586,2020-06-07,捷克,CZ,,,,,9567,0,6885,327
587,2020-06-07,德国,DE,,,,,186320,0,171153,8860
588,2020-06-07,吉布提,DJ,,,,,4169,0,1815,26
589,2020-06-07,丹麦,DK,,,,,12124,0,10921,587
590,2020-06-07,多米尼克,DM,,,,,18,0,16,0
591,2020-06-07,多米尼加,DO,,,,,19195,0,11919,536
592,2020-06-07,阿尔及利亚,DZ,,,,,10050,0,6631,698
593,2020-06-07,厄瓜多尔,EC,,,,,42728,0,21020,3608
594,2020-06-07,爱沙尼亚,EE,,,,,1931,0,1675,69
595,2020-06-07,埃及,EG,,,,,32612,0,8538,1198
596,2020-06-07,厄立特里亚,ER,,,,,39,0,39,0
597,2020-06-07,西班牙,ES,,,,,288390,0,196958,27135
598,2020-06-07,埃塞俄比亚,ET,,,,,1934,0,281,20
599,2020-06-07,芬兰,FI,,,,,6964,0,5800,322
600,2020-06-07,斐济,FJ,,,,,18,0,15,0
601,2020-06-07,福克兰群岛（马尔维纳斯）,FK,,,,,13,0,13,0
602,2020-06-07,法罗群岛,FO,,,,,187,0,187,0
603,2020-06-07,法国,FR,,,,,153634,0,70806,29142
604,2020-06-07,加蓬,GA,,,,,3101,0,833,21
605,2020-06-07,英国,GB,,,,,284868,0,1918,40465
606,2020-06-07,格林纳达,GD,,,,,23,0,18,0
607,2020-06-07,格鲁吉亚,GE,,,,,808,0,663,13
608,2020-06-07,法属圭亚那,GF,,,,,639,0,348,1
609,2020-06-07,格恩西岛,GG,,,,,252,0,0,13
610,2020-06-07,加纳,GH,,,,,9462,0,3547,44
611,2020-06-07,直布罗陀,GI,,,,,175,0,155,0
612,2020-06-07,格陵兰,GL,,,,,13,0,11,0
613,2020-06-07,冈比亚,GM,,,,,26,0,20,1
614,2020-06-07,几内亚,GN,,,,,4117,0,2857,23
615,2020-06-07,瓜德罗普,GP,,,,,164,0,144,14
616,2020-06-07,赤道几内亚,GQ,,,,,1306,0,200,12
617,2020-06-07,希腊,GR,,,,,2980,0,1374,180
