,date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
0,2020-05-30,钻石公主号邮轮,,,,,,712,0,653,13
1,2020-05-30,圣马丁,,,,,,77,0,60,15
2,2020-05-30,荷属安的列斯,,,,,,18,0,14,1
3,2020-05-30,安道尔,AD,,,,,764,0,684,51
4,2020-05-30,阿联酋,AE,,,,,33170,0,17097,260
5,2020-05-30,阿富汗,AF,,,,,14525,0,1303,249
6,2020-05-30,安提瓜和巴布达,AG,,,,,25,0,19,3
7,2020-05-30,安圭拉,AI,,,,,3,0,3,0
8,2020-05-30,阿尔巴尼亚,AL,,,,,1122,0,857,33
9,2020-05-30,亚美尼亚,AM,,,,,8927,0,3317,127
10,2020-05-30,安哥拉,AO,,,,,81,0,18,4
11,2020-05-30,阿根廷,AR,,,,,15419,0,4788,520
12,2020-05-30,奥地利,AT,,,,,16685,0,15520,668
13,2020-05-30,澳大利亚,AU,,,,,7185,0,6606,103
14,2020-05-30,阿鲁巴,AW,,,,,101,0,98,3
15,2020-05-30,阿塞拜疆,AZ,,,,,5246,0,3327,61
16,2020-05-30,波黑,BA,,,,,2494,0,1831,153
17,2020-05-30,巴巴多斯,BB,,,,,92,0,70,7
18,2020-05-30,孟加拉国,BD,,,,,44608,0,9375,610
19,2020-05-30,比利时,BE,,,,,58186,0,15769,9453
20,2020-05-30,布基纳法索,BF,,,,,847,0,720,53
21,2020-05-30,保加利亚,BG,,,,,2499,0,1064,139
22,2020-05-30,巴林,BH,,,,,10740,0,5811,15
23,2020-05-30,布隆迪,BI,,,,,42,0,20,1
24,2020-05-30,贝宁,BJ,,,,,224,0,136,3
25,2020-05-30,圣巴泰勒米,BL,,,,,6,0,6,0
26,2020-05-30,百慕大,BM,,,,,140,0,92,9
27,2020-05-30,文莱,BN,,,,,141,0,137,2
28,2020-05-30,玻利维亚,BO,,,,,8731,0,749,300
29,2020-05-30,巴西,BR,,,,,468338,0,193181,27944
30,2020-05-30,巴哈马,BS,,,,,102,0,48,11
31,2020-05-30,不丹,BT,,,,,33,0,6,0
32,2020-05-30,博茨瓦纳,BW,,,,,35,0,20,1
33,2020-05-30,白俄罗斯,BY,,,,,41658,0,17964,229
34,2020-05-30,伯利兹,BZ,,,,,18,0,16,2
35,2020-05-30,加拿大,CA,,,,,89418,0,47518,6979
36,2020-05-30,刚果（金）,CD,,,,,2966,0,428,69
37,2020-05-30,中非,CF,,,,,755,0,23,1
38,2020-05-30,刚果（布）,CG,,,,,571,0,161,19
39,2020-05-30,瑞士,CH,,,,,30845,0,28400,1919
40,2020-05-30,科特迪瓦,CI,,,,,2750,0,1370,32
41,2020-05-30,智利,CL,,,,,90638,0,38598,944
42,2020-05-30,喀麦隆,CM,,,,,5436,0,1996,175
581,2020-05-30,哥伦比亚,CO,,,,,26688,0,6913,853
582,2020-05-30,哥斯达黎加,CR,,,,,1022,0,653,10
583,2020-05-30,古巴,CU,,,,,2005,0,1760,82
584,2020-05-30,佛得角,CV,,,,,421,0,167,4
585,2020-05-30,塞浦路斯,CY,,,,,942,0,784,17
586,2020-05-30,捷克,CZ,,,,,9200,0,6502,319
587,2020-05-30,德国,DE,,,,,183673,0,167823,8702
588,2020-05-30,吉布提,DJ,,,,,3194,0,1286,22
589,2020-05-30,丹麦,DK,,,,,11712,0,10378,568
590,2020-05-30,多米尼克,DM,,,,,16,0,16,0
591,2020-05-30,多米尼加,DO,,,,,16531,0,9266,488
592,2020-05-30,阿尔及利亚,DZ,,,,,9134,0,5422,638
593,2020-05-30,厄瓜多尔,EC,,,,,38571,0,19190,3334
594,2020-05-30,爱沙尼亚,EE,,,,,1865,0,1622,67
595,2020-05-30,埃及,EG,,,,,22082,0,5511,879
596,2020-05-30,厄立特里亚,ER,,,,,39,0,39,0
597,2020-05-30,西班牙,ES,,,,,285644,0,196958,27121
598,2020-05-30,埃塞俄比亚,ET,,,,,1063,0,208,8
599,2020-05-30,芬兰,FI,,,,,6826,0,5500,316
600,2020-05-30,斐济,FJ,,,,,18,0,15,0
601,2020-05-30,福克兰群岛（马尔维纳斯）,FK,,,,,13,0,13,0
602,2020-05-30,法罗群岛,FO,,,,,187,0,187,0
603,2020-05-30,法国,FR,,,,,186835,0,67803,28714
604,2020-05-30,加蓬,GA,,,,,2613,0,709,15
605,2020-05-30,英国,GB,,,,,271222,0,1918,38161
606,2020-05-30,格林纳达,GD,,,,,23,0,18,0
607,2020-05-30,格鲁吉亚,GE,,,,,757,0,600,12
608,2020-05-30,法属圭亚那,GF,,,,,450,0,172,1
609,2020-05-30,格恩西岛,GG,,,,,252,0,0,13
610,2020-05-30,加纳,GH,,,,,7768,0,2540,35
611,2020-05-30,直布罗陀,GI,,,,,169,0,149,0
612,2020-05-30,格陵兰,GL,,,,,13,0,11,0
613,2020-05-30,冈比亚,GM,,,,,25,0,19,1
614,2020-05-30,几内亚,GN,,,,,3656,0,2000,22
615,2020-05-30,瓜德罗普,GP,,,,,162,0,138,14
616,2020-05-30,赤道几内亚,GQ,,,,,1306,0,200,12
617,2020-05-30,希腊,GR,,,,,2909,0,1374,175
618,2020-05-30,危地马拉,GT,,,,,4607,0,648,90
619,2020-05-30,关岛,GU,,,,,172,0,143,5
620,2020-05-30,几内亚比绍,GW,,,,,1256,0,42,8
621,2020-05-30,圭亚那,GY,,,,,150,0,67,11
622,2020-05-30,洪都拉斯,HN,,,,,4886,0,528,199
623,2020-05-30,克罗地亚,HR,,,,,2246,0,2063,103
624,2020-05-30,海地,HT,,,,,1584,0,22,35
625,2020-05-30,匈牙利,HU,,,,,3867,0,2142,524
626,2020-05-30,印度尼西亚,ID,,,,,25773,0,7015,1573
627,2020-05-30,爱尔兰,IE,,,,,24876,0,22089,1645
628,2020-05-30,以色列,IL,,,,,17008,0,14776,284
629,2020-05-30,英国属地曼岛,IM,,,,,336,0,309,24
630,2020-05-30,印度,IN,,,,,175957,0,83878,4996
631,2020-05-30,伊拉克,IQ,,,,,5873,0,3044,185
632,2020-05-30,伊朗,IR,,,,,148950,0,116827,7734
633,2020-05-30,冰岛,IS,,,,,1806,0,1794,10
634,2020-05-30,意大利,IT,,,,,232248,0,152844,33229
635,2020-05-30,泽西岛,JE,,,,,307,0,0,29
636,2020-05-30,牙买加,JM,,,,,575,0,289,9
637,2020-05-30,约旦,JO,,,,,730,0,507,9
638,2020-05-30,日本,JP,,,,,16877,0,14406,894
639,2020-05-30,肯尼亚,KE,,,,,1888,0,438,62
640,2020-05-30,吉尔吉斯斯坦,KG,,,,,1722,0,1113,16
641,2020-05-30,柬埔寨,KH,,,,,125,0,123,0
642,2020-05-30,科摩罗,KM,,,,,87,0,24,2
643,2020-05-30,圣基茨和尼维斯,KN,,,,,15,0,15,0
644,2020-05-30,韩国,KR,,,,,11441,0,10398,269
645,2020-05-30,科威特,KW,,,,,26192,0,10156,205
646,2020-05-30,开曼群岛,KY,,,,,141,0,68,1
647,2020-05-30,哈萨克斯坦,KZ,,,,,10382,0,5057,38
648,2020-05-30,老挝,LA,,,,,19,0,16,0
649,2020-05-30,黎巴嫩,LB,,,,,1191,0,708,26
650,2020-05-30,圣卢西亚,LC,,,,,18,0,18,0
651,2020-05-30,列支敦士登,LI,,,,,82,0,55,1
652,2020-05-30,斯里兰卡,LK,,,,,1561,0,781,10
653,2020-05-30,利比里亚,LR,,,,,280,0,148,27
654,2020-05-30,莱索托,LS,,,,,2,0,0,0
655,2020-05-30,立陶宛,LT,,,,,1670,0,1229,70
656,2020-05-30,卢森堡,LU,,,,,4012,0,3815,110
657,2020-05-30,拉脱维亚,LV,,,,,1065,0,745,24
658,2020-05-30,利比亚,LY,,,,,118,0,41,5
659,2020-05-30,摩洛哥,MA,,,,,7740,0,5377,203
660,2020-05-30,摩纳哥,MC,,,,,98,0,90,4
661,2020-05-30,摩尔多瓦,MD,,,,,8098,0,4455,291
662,2020-05-30,黑山,ME,,,,,324,0,315,9
663,2020-05-30,马达加斯加,MG,,,,,758,0,165,6
664,2020-05-30,北马其顿,MK,,,,,2164,0,1535,131
665,2020-05-30,马里,ML,,,,,1250,0,696,76
666,2020-05-30,缅甸,MM,,,,,224,0,130,6
667,2020-05-30,蒙古,MN,,,,,179,0,43,0
668,2020-05-30,北马里亚纳,MP,,,,,22,0,0,2
669,2020-05-30,马提尼克,MQ,,,,,200,0,93,14
670,2020-05-30,毛利塔尼亚,MR,,,,,423,0,21,20
671,2020-05-30,蒙特塞拉特,MS,,,,,11,0,10,1
672,2020-05-30,马耳他,MT,,,,,618,0,525,9
673,2020-05-30,毛里求斯,MU,,,,,335,0,322,10
674,2020-05-30,马尔代夫,MV,,,,,1633,0,230,5
675,2020-05-30,马拉维,MW,,,,,273,0,42,4
676,2020-05-30,墨西哥,MX,,,,,84627,0,59610,9415
677,2020-05-30,马来西亚,MY,,,,,7762,0,6330,115
678,2020-05-30,莫桑比克,MZ,,,,,244,0,90,2
679,2020-05-30,新喀里多尼亚,NC,,,,,18,0,18,0
680,2020-05-30,尼日尔,NE,,,,,955,0,796,64
681,2020-05-30,尼日利亚,NG,,,,,9302,0,2697,261
682,2020-05-30,尼加拉瓜,NI,,,,,759,0,370,35
683,2020-05-30,荷兰,NL,,,,,46257,0,322,5951
684,2020-05-30,挪威,NO,,,,,8425,0,7727,236
685,2020-05-30,尼泊尔,NP,,,,,1401,0,219,6
686,2020-05-30,新西兰,NZ,,,,,1504,0,1481,22
687,2020-05-30,阿曼,OM,,,,,10423,0,2396,42
