,date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
0,2020-02-06,阿联酋,AE,,,,,5,0,0,0
1,2020-02-06,澳大利亚,AU,,,,,14,0,3,0
2,2020-02-06,比利时,BE,,,,,1,0,0,0
3,2020-02-06,加拿大,CA,,,,,5,0,1,0
504,2020-02-06,德国,DE,,,,,12,0,0,0
505,2020-02-06,西班牙,ES,,,,,1,0,0,0
506,2020-02-06,芬兰,FI,,,,,1,0,0,0
507,2020-02-06,法国,FR,,,,,6,0,0,0
508,2020-02-06,英国,GB,,,,,2,0,0,0
509,2020-02-06,印度,IN,,,,,3,0,0,0
510,2020-02-06,意大利,IT,,,,,2,0,0,0
511,2020-02-06,日本,JP,,,,,45,0,1,0
512,2020-02-06,柬埔寨,KH,,,,,1,0,0,0
513,2020-02-06,韩国,KR,,,,,24,0,1,0
514,2020-02-06,斯里兰卡,LK,,,,,1,0,1,0
515,2020-02-06,马来西亚,MY,,,,,14,0,1,0
516,2020-02-06,尼泊尔,NP,,,,,1,0,0,0
517,2020-02-06,菲律宾,PH,,,,,3,0,0,1
518,2020-02-06,俄罗斯,RU,,,,,2,0,0,0
519,2020-02-06,瑞典,SE,,,,,1,0,0,0
520,2020-02-06,新加坡,SG,,,,,28,0,1,0
521,2020-02-06,泰国,TH,,,,,25,0,8,0
522,2020-02-06,美国,US,,,,,12,0,1,0
523,2020-02-06,越南,VN,,,,,10,0,3,0
