,date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
0,2020-05-06,钻石公主号邮轮,,,,,,712,0,645,13
1,2020-05-06,圣马丁,,,,,,76,0,44,14
2,2020-05-06,荷属安的列斯,,,,,,16,0,13,1
3,2020-05-06,安道尔,AD,,,,,751,0,514,46
4,2020-05-06,阿联酋,AE,,,,,15192,0,3153,146
5,2020-05-06,阿富汗,AF,,,,,3392,0,458,104
6,2020-05-06,安提瓜和巴布达,AG,,,,,25,0,16,3
7,2020-05-06,安圭拉,AI,,,,,3,0,3,0
8,2020-05-06,阿尔巴尼亚,AL,,,,,832,0,595,31
9,2020-05-06,亚美尼亚,AM,,,,,2782,0,1135,40
10,2020-05-06,安哥拉,AO,,,,,36,0,11,2
11,2020-05-06,阿根廷,AR,,,,,5020,0,1472,264
12,2020-05-06,奥地利,AT,,,,,15684,0,13639,608
13,2020-05-06,澳大利亚,AU,,,,,6875,0,5975,97
14,2020-05-06,阿鲁巴,AW,,,,,101,0,82,2
15,2020-05-06,阿塞拜疆,AZ,,,,,2127,0,1536,28
16,2020-05-06,波黑,BA,,,,,1987,0,928,86
17,2020-05-06,巴巴多斯,BB,,,,,82,0,47,7
18,2020-05-06,孟加拉国,BD,,,,,11719,0,1403,186
19,2020-05-06,比利时,BE,,,,,50781,0,12731,8339
20,2020-05-06,布基纳法索,BF,,,,,688,0,548,48
21,2020-05-06,保加利亚,BG,,,,,1758,0,360,82
22,2020-05-06,巴林,BH,,,,,3842,0,1860,8
23,2020-05-06,布隆迪,BI,,,,,15,0,7,1
24,2020-05-06,贝宁,BJ,,,,,96,0,50,2
25,2020-05-06,圣巴泰勒米,BL,,,,,6,0,6,0
26,2020-05-06,百慕大,BM,,,,,115,0,54,7
27,2020-05-06,文莱,BN,,,,,139,0,131,1
28,2020-05-06,玻利维亚,BO,,,,,1802,0,187,86
29,2020-05-06,巴西,BR,,,,,116299,0,48221,7966
30,2020-05-06,巴哈马,BS,,,,,89,0,26,11
31,2020-05-06,不丹,BT,,,,,7,0,5,0
32,2020-05-06,博茨瓦纳,BW,,,,,23,0,8,1
33,2020-05-06,白俄罗斯,BY,,,,,19255,0,4388,112
34,2020-05-06,伯利兹,BZ,,,,,18,0,16,2
35,2020-05-06,加拿大,CA,,,,,63215,0,27006,4190
36,2020-05-06,刚果（金）,CD,,,,,797,0,92,35
37,2020-05-06,中非,CF,,,,,94,0,10,0
38,2020-05-06,刚果（布）,CG,,,,,236,0,26,10
