,date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
0,2020-02-22,阿联酋,AE,,,,,13,0,4,0
1,2020-02-22,澳大利亚,AU,,,,,15,0,5,0
2,2020-02-22,比利时,BE,,,,,1,0,1,0
3,2020-02-22,加拿大,CA,,,,,9,0,1,0
518,2020-02-22,德国,DE,,,,,16,0,7,0
519,2020-02-22,西班牙,ES,,,,,2,0,0,0
520,2020-02-22,芬兰,FI,,,,,1,0,1,0
521,2020-02-22,法国,FR,,,,,12,0,4,1
522,2020-02-22,英国,GB,,,,,9,0,8,0
523,2020-02-22,印度,IN,,,,,3,0,3,0
524,2020-02-22,伊朗,IR,,,,,28,0,0,4
525,2020-02-22,意大利,IT,,,,,33,0,0,2
526,2020-02-22,日本,JP,,,,,763,0,15,3
527,2020-02-22,柬埔寨,KH,,,,,1,0,1,0
528,2020-02-22,韩国,KR,,,,,433,0,18,3
529,2020-02-22,黎巴嫩,LB,,,,,1,0,0,0
530,2020-02-22,斯里兰卡,LK,,,,,1,0,1,0
531,2020-02-22,马来西亚,MY,,,,,22,0,15,0
532,2020-02-22,尼泊尔,NP,,,,,1,0,1,0
533,2020-02-22,菲律宾,PH,,,,,3,0,1,1
534,2020-02-22,俄罗斯,RU,,,,,2,0,2,0
535,2020-02-22,瑞典,SE,,,,,1,0,0,0
536,2020-02-22,新加坡,SG,,,,,89,0,49,0
537,2020-02-22,泰国,TH,,,,,35,0,17,0
538,2020-02-22,美国,US,,,,,34,0,3,0
539,2020-02-22,越南,VN,,,,,16,0,9,0
