,date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
0,2020-03-26,钻石公主号邮轮,,,,,,712,0,597,10
1,2020-03-26,波黑,,,,,,185,0,2,3
2,2020-03-26,蒙古,,,,,,11,0,0,0
3,2020-03-26,荷属安的列斯,,,,,,3,0,0,0
4,2020-03-26,圣马丁,,,,,,2,0,0,0
5,2020-03-26,泽西岛,,,,,,2,0,0,0
6,2020-03-26,毛利塔尼亚,,,,,,2,0,0,0
7,2020-03-26,格恩西岛,,,,,,1,0,0,0
8,2020-03-26,安道尔,AD,,,,,220,0,1,1
9,2020-03-26,阿联酋,AE,,,,,333,0,45,2
10,2020-03-26,阿富汗,AF,,,,,84,0,2,2
11,2020-03-26,安提瓜和巴布达,AG,,,,,3,0,0,0
12,2020-03-26,阿尔巴尼亚,AL,,,,,146,0,17,5
13,2020-03-26,亚美尼亚,AM,,,,,290,0,18,0
14,2020-03-26,安哥拉,AO,,,,,3,0,0,0
15,2020-03-26,阿根廷,AR,,,,,502,0,52,8
16,2020-03-26,奥地利,AT,,,,,6001,0,9,42
17,2020-03-26,澳大利亚,AU,,,,,2810,0,172,13
18,2020-03-26,阿鲁巴,AW,,,,,12,0,0,0
19,2020-03-26,阿塞拜疆,AZ,,,,,93,0,10,2
20,2020-03-26,巴巴多斯,BB,,,,,18,0,0,0
21,2020-03-26,孟加拉国,BD,,,,,44,0,11,5
22,2020-03-26,比利时,BE,,,,,6235,0,461,220
23,2020-03-26,布基纳法索,BF,,,,,146,0,10,4
24,2020-03-26,保加利亚,BG,,,,,243,0,4,3
25,2020-03-26,巴林,BH,,,,,419,0,190,4
26,2020-03-26,贝宁,BJ,,,,,6,0,0,0
27,2020-03-26,圣巴泰勒米,BL,,,,,3,0,0,0
28,2020-03-26,文莱,BN,,,,,114,0,5,0
29,2020-03-26,玻利维亚,BO,,,,,39,0,0,0
30,2020-03-26,巴西,BR,,,,,2587,0,150,61
31,2020-03-26,巴哈马,BS,,,,,5,0,0,0
32,2020-03-26,不丹,BT,,,,,2,0,0,0
33,2020-03-26,白俄罗斯,BY,,,,,86,0,29,0
34,2020-03-26,伯利兹,BZ,,,,,2,0,0,0
35,2020-03-26,加拿大,CA,,,,,3409,0,183,36
36,2020-03-26,刚果（金）,CD,,,,,51,0,2,4
37,2020-03-26,中非,CF,,,,,3,0,0,0
38,2020-03-26,刚果（布）,CG,,,,,4,0,0,0
39,2020-03-26,瑞士,CH,,,,,11316,0,131,171
40,2020-03-26,科特迪瓦,CI,,,,,80,0,3,0
41,2020-03-26,智利,CL,,,,,1306,0,33,4
42,2020-03-26,喀麦隆,CM,,,,,75,0,2,1
581,2020-03-26,哥伦比亚,CO,,,,,470,0,8,3
582,2020-03-26,哥斯达黎加,CR,,,,,201,0,2,2
583,2020-03-26,古巴,CU,,,,,57,0,1,1
584,2020-03-26,佛得角,CV,,,,,4,0,0,0
585,2020-03-26,塞浦路斯,CY,,,,,132,0,3,3
586,2020-03-26,捷克,CZ,,,,,1775,0,10,6
587,2020-03-26,德国,DE,,,,,40421,0,3959,229
588,2020-03-26,吉布提,DJ,,,,,11,0,0,0
589,2020-03-26,丹麦,DK,,,,,1997,0,50,34
590,2020-03-26,多米尼克,DM,,,,,11,0,0,0
591,2020-03-26,多米尼加,DO,,,,,392,0,3,10
592,2020-03-26,阿尔及利亚,DZ,,,,,302,0,65,21
593,2020-03-26,厄瓜多尔,EC,,,,,1211,0,3,29
594,2020-03-26,爱沙尼亚,EE,,,,,404,0,8,0
595,2020-03-26,埃及,EG,,,,,456,0,95,21
596,2020-03-26,厄立特里亚,ER,,,,,4,0,0,0
597,2020-03-26,西班牙,ES,,,,,56188,0,7015,4089
598,2020-03-26,埃塞俄比亚,ET,,,,,12,0,0,0
599,2020-03-26,芬兰,FI,,,,,880,0,10,3
600,2020-03-26,斐济,FJ,,,,,5,0,0,0
601,2020-03-26,法罗群岛,FO,,,,,122,0,0,0
602,2020-03-26,法国,FR,,,,,25600,0,3907,1333
603,2020-03-26,加蓬,GA,,,,,6,0,0,1
604,2020-03-26,英国,GB,,,,,9642,0,142,467
605,2020-03-26,格林纳达,GD,,,,,1,0,0,0
606,2020-03-26,格鲁吉亚,GE,,,,,75,0,10,0
607,2020-03-26,法属圭亚那,GF,,,,,18,0,6,0
608,2020-03-26,加纳,GH,,,,,132,0,0,4
609,2020-03-26,直布罗陀,GI,,,,,3,0,0,0
610,2020-03-26,格陵兰,GL,,,,,1,0,0,0
611,2020-03-26,冈比亚,GM,,,,,3,0,0,0
612,2020-03-26,几内亚,GN,,,,,4,0,0,0
613,2020-03-26,瓜德罗普,GP,,,,,62,0,0,1
614,2020-03-26,赤道几内亚,GQ,,,,,11,0,0,0
615,2020-03-26,希腊,GR,,,,,821,0,19,22
616,2020-03-26,危地马拉,GT,,,,,24,0,4,1
617,2020-03-26,关岛,GU,,,,,29,0,0,1
618,2020-03-26,几内亚比绍,GW,,,,,2,0,0,0
619,2020-03-26,圭亚那,GY,,,,,20,0,0,1
620,2020-03-26,洪都拉斯,HN,,,,,52,0,0,0
621,2020-03-26,克罗地亚,HR,,,,,481,0,22,1
622,2020-03-26,海地,HT,,,,,8,0,0,0
623,2020-03-26,匈牙利,HU,,,,,261,0,28,10
624,2020-03-26,印度尼西亚,ID,,,,,893,0,31,78
625,2020-03-26,爱尔兰,IE,,,,,1564,0,5,9
626,2020-03-26,以色列,IL,,,,,2495,0,64,8
627,2020-03-26,印度,IN,,,,,681,0,43,12
628,2020-03-26,伊拉克,IQ,,,,,382,0,105,36
629,2020-03-26,伊朗,IR,,,,,29406,0,10457,2234
630,2020-03-26,冰岛,IS,,,,,739,0,56,2
631,2020-03-26,意大利,IT,,,,,74386,0,9362,7503
632,2020-03-26,牙买加,JM,,,,,26,0,2,1
633,2020-03-26,约旦,JO,,,,,172,0,1,0
634,2020-03-26,日本,JP,,,,,1398,0,359,47
635,2020-03-26,肯尼亚,KE,,,,,31,0,1,0
636,2020-03-26,吉尔吉斯斯坦,KG,,,,,44,0,0,0
637,2020-03-26,柬埔寨,KH,,,,,96,0,10,0
638,2020-03-26,圣基茨和尼维斯,KN,,,,,2,0,0,0
639,2020-03-26,韩国,KR,,,,,9241,0,4144,131
640,2020-03-26,科威特,KW,,,,,208,0,49,0
641,2020-03-26,开曼群岛,KY,,,,,1,0,0,1
642,2020-03-26,哈萨克斯坦,KZ,,,,,97,0,2,0
643,2020-03-26,老挝,LA,,,,,6,0,0,0
644,2020-03-26,黎巴嫩,LB,,,,,368,0,20,6
645,2020-03-26,圣卢西亚,LC,,,,,3,0,0,0
646,2020-03-26,列支敦士登,LI,,,,,51,0,0,0
647,2020-03-26,斯里兰卡,LK,,,,,102,0,3,0
648,2020-03-26,利比里亚,LR,,,,,3,0,0,0
649,2020-03-26,立陶宛,LT,,,,,290,0,1,4
650,2020-03-26,卢森堡,LU,,,,,1333,0,6,8
