,date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
0,2020-03-04,安道尔,AD,,,,,1,0,0,0
1,2020-03-04,阿联酋,AE,,,,,27,0,5,0
2,2020-03-04,阿富汗,AF,,,,,1,0,0,0
3,2020-03-04,亚美尼亚,AM,,,,,1,0,0,0
4,2020-03-04,阿根廷,AR,,,,,1,0,0,0
5,2020-03-04,奥地利,AT,,,,,24,0,0,0
6,2020-03-04,澳大利亚,AU,,,,,50,0,15,2
7,2020-03-04,阿塞拜疆,AZ,,,,,3,0,0,0
8,2020-03-04,比利时,BE,,,,,23,0,1,0
9,2020-03-04,巴林,BH,,,,,50,0,0,0
10,2020-03-04,巴西,BR,,,,,2,0,0,0
11,2020-03-04,白俄罗斯,BY,,,,,6,0,0,0
12,2020-03-04,加拿大,CA,,,,,33,0,7,0
13,2020-03-04,瑞士,CH,,,,,66,0,2,0
14,2020-03-04,智利,CL,,,,,1,0,0,0
528,2020-03-04,捷克,CZ,,,,,5,0,0,0
529,2020-03-04,德国,DE,,,,,240,0,16,0
530,2020-03-04,丹麦,DK,,,,,10,0,0,0
531,2020-03-04,多米尼加,DO,,,,,1,0,0,0
532,2020-03-04,阿尔及利亚,DZ,,,,,8,0,0,0
533,2020-03-04,厄瓜多尔,EC,,,,,7,0,0,0
534,2020-03-04,爱沙尼亚,EE,,,,,1,0,0,0
535,2020-03-04,埃及,EG,,,,,2,0,1,0
536,2020-03-04,西班牙,ES,,,,,179,0,3,1
537,2020-03-04,芬兰,FI,,,,,7,0,1,0
538,2020-03-04,法国,FR,,,,,257,0,12,4
539,2020-03-04,英国,GB,,,,,85,0,8,0
540,2020-03-04,格鲁吉亚,GE,,,,,3,0,0,0
541,2020-03-04,希腊,GR,,,,,9,0,0,0
542,2020-03-04,克罗地亚,HR,,,,,9,0,0,0
543,2020-03-04,印度尼西亚,ID,,,,,2,0,0,0
544,2020-03-04,爱尔兰,IE,,,,,2,0,0,0
545,2020-03-04,以色列,IL,,,,,15,0,0,0
546,2020-03-04,印度,IN,,,,,28,0,3,0
547,2020-03-04,伊拉克,IQ,,,,,31,0,0,1
548,2020-03-04,伊朗,IR,,,,,2922,0,552,92
549,2020-03-04,冰岛,IS,,,,,16,0,1,0
550,2020-03-04,意大利,IT,,,,,2546,0,160,79
551,2020-03-04,约旦,JO,,,,,1,0,0,0
552,2020-03-04,日本,JP,,,,,1032,0,229,12
553,2020-03-04,柬埔寨,KH,,,,,1,0,1,0
554,2020-03-04,韩国,KR,,,,,5621,0,34,35
555,2020-03-04,科威特,KW,,,,,56,0,0,0
556,2020-03-04,黎巴嫩,LB,,,,,13,0,1,0
557,2020-03-04,斯里兰卡,LK,,,,,1,0,1,0
558,2020-03-04,立陶宛,LT,,,,,1,0,0,0
559,2020-03-04,卢森堡,LU,,,,,1,0,0,0
560,2020-03-04,拉脱维亚,LV,,,,,1,0,0,0
561,2020-03-04,摩洛哥,MA,,,,,1,0,0,0
562,2020-03-04,摩纳哥,MC,,,,,1,0,0,0
563,2020-03-04,北马其顿,MK,,,,,1,0,0,0
564,2020-03-04,墨西哥,MX,,,,,5,0,1,0
565,2020-03-04,马来西亚,MY,,,,,50,0,22,0
566,2020-03-04,尼日利亚,NG,,,,,1,0,0,0
567,2020-03-04,荷兰,NL,,,,,38,0,0,0
568,2020-03-04,挪威,NO,,,,,34,0,0,0
569,2020-03-04,尼泊尔,NP,,,,,1,0,1,0
570,2020-03-04,新西兰,NZ,,,,,2,0,0,0
571,2020-03-04,阿曼,OM,,,,,12,0,2,0
572,2020-03-04,菲律宾,PH,,,,,3,0,1,1
573,2020-03-04,巴基斯坦,PK,,,,,5,0,0,0
574,2020-03-04,波兰,PL,,,,,1,0,0,0
575,2020-03-04,葡萄牙,PT,,,,,5,0,0,0
576,2020-03-04,卡塔尔,QA,,,,,7,0,0,0
577,2020-03-04,罗马尼亚,RO,,,,,4,0,1,0
578,2020-03-04,俄罗斯,RU,,,,,6,0,2,0
579,2020-03-04,沙特阿拉伯,SA,,,,,1,0,0,0
580,2020-03-04,瑞典,SE,,,,,35,0,0,0
581,2020-03-04,新加坡,SG,,,,,112,0,78,0
582,2020-03-04,圣马力诺,SM,,,,,8,0,0,0
583,2020-03-04,塞内加尔,SN,,,,,2,0,0,0
584,2020-03-04,泰国,TH,,,,,43,0,28,1
585,2020-03-04,突尼斯,TN,,,,,1,0,0,0
586,2020-03-04,乌克兰,UA,,,,,1,0,0,0
587,2020-03-04,美国,US,,,,,126,0,3,9
588,2020-03-04,越南,VN,,,,,16,0,16,0
