,date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
0,2020-03-17,钻石公主号邮轮,,,,,,712,0,458,7
1,2020-03-17,波黑,,,,,,25,0,2,0
2,2020-03-17,蒙古,,,,,,5,0,0,0
3,2020-03-17,圣马丁,,,,,,2,0,0,0
4,2020-03-17,泽西岛,,,,,,2,0,0,0
5,2020-03-17,格恩西岛,,,,,,1,0,0,0
6,2020-03-17,毛利塔尼亚,,,,,,1,0,0,0
7,2020-03-17,荷属安的列斯,,,,,,1,0,0,0
8,2020-03-17,安道尔,AD,,,,,15,0,1,0
9,2020-03-17,阿联酋,AE,,,,,98,0,26,0
10,2020-03-17,阿富汗,AF,,,,,22,0,0,0
11,2020-03-17,安提瓜和巴布达,AG,,,,,1,0,0,0
12,2020-03-17,阿尔巴尼亚,AL,,,,,51,0,0,1
13,2020-03-17,亚美尼亚,AM,,,,,64,0,1,0
14,2020-03-17,阿根廷,AR,,,,,65,0,1,2
15,2020-03-17,奥地利,AT,,,,,1132,0,8,3
16,2020-03-17,澳大利亚,AU,,,,,452,0,27,6
17,2020-03-17,阿鲁巴,AW,,,,,2,0,0,0
18,2020-03-17,阿塞拜疆,AZ,,,,,28,0,6,1
19,2020-03-17,孟加拉国,BD,,,,,8,0,2,0
20,2020-03-17,比利时,BE,,,,,1243,0,1,10
21,2020-03-17,布基纳法索,BF,,,,,15,0,0,0
22,2020-03-17,保加利亚,BG,,,,,67,0,0,2
23,2020-03-17,巴林,BH,,,,,237,0,81,1
24,2020-03-17,贝宁,BJ,,,,,1,0,0,0
25,2020-03-17,圣巴泰勒米,BL,,,,,3,0,0,0
26,2020-03-17,文莱,BN,,,,,56,0,0,0
27,2020-03-17,玻利维亚,BO,,,,,11,0,0,0
28,2020-03-17,巴西,BR,,,,,234,0,2,0
29,2020-03-17,巴哈马,BS,,,,,1,0,0,0
30,2020-03-17,不丹,BT,,,,,1,0,0,0
31,2020-03-17,白俄罗斯,BY,,,,,36,0,3,0
32,2020-03-17,加拿大,CA,,,,,439,0,11,4
33,2020-03-17,刚果（金）,CD,,,,,3,0,0,0
34,2020-03-17,中非,CF,,,,,1,0,0,0
35,2020-03-17,刚果（布）,CG,,,,,1,0,0,0
36,2020-03-17,瑞士,CH,,,,,2330,0,4,21
37,2020-03-17,科特迪瓦,CI,,,,,6,0,1,0
38,2020-03-17,智利,CL,,,,,156,0,0,0
39,2020-03-17,喀麦隆,CM,,,,,10,0,2,0
560,2020-03-17,哥伦比亚,CO,,,,,57,0,1,0
561,2020-03-17,哥斯达黎加,CR,,,,,41,0,0,0
562,2020-03-17,古巴,CU,,,,,4,0,0,0
563,2020-03-17,塞浦路斯,CY,,,,,46,0,0,0
564,2020-03-17,捷克,CZ,,,,,383,0,3,0
565,2020-03-17,德国,DE,,,,,7689,0,67,20
566,2020-03-17,丹麦,DK,,,,,1007,0,1,4
567,2020-03-17,多米尼加,DO,,,,,21,0,0,1
568,2020-03-17,阿尔及利亚,DZ,,,,,60,0,12,4
569,2020-03-17,厄瓜多尔,EC,,,,,58,0,0,2
570,2020-03-17,爱沙尼亚,EE,,,,,225,0,1,0
571,2020-03-17,埃及,EG,,,,,166,0,32,4
572,2020-03-17,西班牙,ES,,,,,11309,0,1028,509
573,2020-03-17,埃塞俄比亚,ET,,,,,5,0,0,0
574,2020-03-17,芬兰,FI,,,,,294,0,10,0
575,2020-03-17,法罗群岛,FO,,,,,9,0,0,0
576,2020-03-17,法国,FR,,,,,6664,0,12,148
577,2020-03-17,加蓬,GA,,,,,1,0,0,0
578,2020-03-17,英国,GB,,,,,1950,0,53,56
579,2020-03-17,格鲁吉亚,GE,,,,,34,0,1,0
580,2020-03-17,法属圭亚那,GF,,,,,11,0,0,0
581,2020-03-17,加纳,GH,,,,,6,0,0,0
582,2020-03-17,直布罗陀,GI,,,,,1,0,0,0
583,2020-03-17,格陵兰,GL,,,,,1,0,0,0
584,2020-03-17,几内亚,GN,,,,,1,0,0,0
585,2020-03-17,瓜德罗普,GP,,,,,6,0,0,0
586,2020-03-17,赤道几内亚,GQ,,,,,1,0,0,0
587,2020-03-17,希腊,GR,,,,,352,0,10,4
588,2020-03-17,危地马拉,GT,,,,,2,0,0,1
589,2020-03-17,圭亚那,GY,,,,,11,0,0,1
590,2020-03-17,洪都拉斯,HN,,,,,2,0,0,0
591,2020-03-17,克罗地亚,HR,,,,,65,0,4,0
592,2020-03-17,匈牙利,HU,,,,,50,0,2,1
593,2020-03-17,印度尼西亚,ID,,,,,172,0,8,5
594,2020-03-17,爱尔兰,IE,,,,,223,0,5,2
595,2020-03-17,以色列,IL,,,,,344,0,4,0
596,2020-03-17,印度,IN,,,,,137,0,13,3
597,2020-03-17,伊拉克,IQ,,,,,154,0,41,11
598,2020-03-17,伊朗,IR,,,,,16169,0,5389,988
