,date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
0,2020-03-07,波黑,,,,,,3,0,0,0
1,2020-03-07,安道尔,AD,,,,,1,0,0,0
2,2020-03-07,阿联酋,AE,,,,,45,0,5,0
3,2020-03-07,阿富汗,AF,,,,,4,0,0,0
4,2020-03-07,亚美尼亚,AM,,,,,1,0,0,0
5,2020-03-07,阿根廷,AR,,,,,8,0,0,0
6,2020-03-07,奥地利,AT,,,,,66,0,0,0
7,2020-03-07,澳大利亚,AU,,,,,64,0,15,2
8,2020-03-07,阿塞拜疆,AZ,,,,,3,0,0,0
9,2020-03-07,比利时,BE,,,,,169,0,1,0
10,2020-03-07,巴林,BH,,,,,56,0,4,0
11,2020-03-07,巴西,BR,,,,,13,0,0,0
12,2020-03-07,不丹,BT,,,,,1,0,0,0
13,2020-03-07,白俄罗斯,BY,,,,,6,0,0,0
14,2020-03-07,加拿大,CA,,,,,54,0,7,0
15,2020-03-07,瑞士,CH,,,,,228,0,3,1
16,2020-03-07,智利,CL,,,,,5,0,0,0
17,2020-03-07,喀麦隆,CM,,,,,2,0,0,0
531,2020-03-07,哥伦比亚,CO,,,,,1,0,0,0
532,2020-03-07,哥斯达黎加,CR,,,,,1,0,0,0
533,2020-03-07,捷克,CZ,,,,,19,0,0,0
534,2020-03-07,德国,DE,,,,,684,0,17,0
535,2020-03-07,丹麦,DK,,,,,27,0,0,0
536,2020-03-07,多米尼加,DO,,,,,1,0,0,0
537,2020-03-07,阿尔及利亚,DZ,,,,,19,0,0,0
538,2020-03-07,厄瓜多尔,EC,,,,,14,0,0,0
539,2020-03-07,爱沙尼亚,EE,,,,,10,0,0,0
540,2020-03-07,埃及,EG,,,,,15,0,1,0
541,2020-03-07,西班牙,ES,,,,,430,0,3,8
542,2020-03-07,芬兰,FI,,,,,19,0,1,0
543,2020-03-07,法国,FR,,,,,716,0,12,11
544,2020-03-07,英国,GB,,,,,206,0,8,2
545,2020-03-07,格鲁吉亚,GE,,,,,9,0,0,0
546,2020-03-07,直布罗陀,GI,,,,,1,0,0,0
547,2020-03-07,希腊,GR,,,,,46,0,0,0
548,2020-03-07,克罗地亚,HR,,,,,12,0,0,0
549,2020-03-07,匈牙利,HU,,,,,4,0,0,0
550,2020-03-07,印度尼西亚,ID,,,,,4,0,0,0
551,2020-03-07,爱尔兰,IE,,,,,18,0,0,0
552,2020-03-07,以色列,IL,,,,,21,0,2,0
