,date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
0,2020-03-21,钻石公主号邮轮,,,,,,712,0,567,7
1,2020-03-21,波黑,,,,,,89,0,2,0
2,2020-03-21,蒙古,,,,,,10,0,0,0
3,2020-03-21,荷属安的列斯,,,,,,3,0,0,0
4,2020-03-21,圣马丁,,,,,,2,0,0,0
5,2020-03-21,泽西岛,,,,,,2,0,0,0
6,2020-03-21,毛利塔尼亚,,,,,,2,0,0,0
7,2020-03-21,格恩西岛,,,,,,1,0,0,0
8,2020-03-21,安道尔,AD,,,,,88,0,1,0
9,2020-03-21,阿联酋,AE,,,,,153,0,38,2
10,2020-03-21,阿富汗,AF,,,,,24,0,0,0
11,2020-03-21,安提瓜和巴布达,AG,,,,,1,0,0,0
12,2020-03-21,阿尔巴尼亚,AL,,,,,70,0,0,2
13,2020-03-21,亚美尼亚,AM,,,,,160,0,1,0
14,2020-03-21,安哥拉,AO,,,,,2,0,0,0
15,2020-03-21,阿根廷,AR,,,,,158,0,3,3
16,2020-03-21,奥地利,AT,,,,,2814,0,9,7
17,2020-03-21,澳大利亚,AU,,,,,1071,0,27,7
18,2020-03-21,阿鲁巴,AW,,,,,4,0,0,0
19,2020-03-21,阿塞拜疆,AZ,,,,,44,0,6,1
20,2020-03-21,巴巴多斯,BB,,,,,5,0,0,0
21,2020-03-21,孟加拉国,BD,,,,,24,0,3,2
22,2020-03-21,比利时,BE,,,,,2815,0,214,67
23,2020-03-21,布基纳法索,BF,,,,,40,0,4,1
24,2020-03-21,保加利亚,BG,,,,,142,0,1,3
25,2020-03-21,巴林,BH,,,,,298,0,125,1
26,2020-03-21,贝宁,BJ,,,,,2,0,0,0
27,2020-03-21,圣巴泰勒米,BL,,,,,3,0,0,0
28,2020-03-21,文莱,BN,,,,,83,0,2,0
29,2020-03-21,玻利维亚,BO,,,,,16,0,0,0
30,2020-03-21,巴西,BR,,,,,977,0,150,11
31,2020-03-21,巴哈马,BS,,,,,4,0,0,0
32,2020-03-21,不丹,BT,,,,,2,0,0,0
33,2020-03-21,白俄罗斯,BY,,,,,69,0,15,0
34,2020-03-21,加拿大,CA,,,,,1146,0,11,12
35,2020-03-21,刚果（金）,CD,,,,,23,0,0,1
36,2020-03-21,中非,CF,,,,,3,0,0,0
37,2020-03-21,刚果（布）,CG,,,,,3,0,0,0
38,2020-03-21,瑞士,CH,,,,,6113,0,15,56
39,2020-03-21,科特迪瓦,CI,,,,,14,0,1,0
40,2020-03-21,智利,CL,,,,,434,0,6,0
41,2020-03-21,喀麦隆,CM,,,,,27,0,2,0
566,2020-03-21,哥伦比亚,CO,,,,,158,0,1,0
567,2020-03-21,哥斯达黎加,CR,,,,,113,0,0,2
568,2020-03-21,古巴,CU,,,,,21,0,0,1
569,2020-03-21,塞浦路斯,CY,,,,,75,0,0,0
570,2020-03-21,捷克,CZ,,,,,925,0,4,0
571,2020-03-21,德国,DE,,,,,21652,0,209,73
572,2020-03-21,吉布提,DJ,,,,,1,0,0,0
573,2020-03-21,丹麦,DK,,,,,1420,0,1,9
574,2020-03-21,多米尼加,DO,,,,,72,0,0,2
575,2020-03-21,阿尔及利亚,DZ,,,,,102,0,32,9
