,date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
0,2020-04-29,波黑,,,,,,1677,0,710,65
1,2020-04-29,钻石公主号邮轮,,,,,,712,0,645,13
2,2020-04-29,英国属地曼岛,,,,,,309,0,252,21
3,2020-04-29,泽西岛,,,,,,280,0,0,19
4,2020-04-29,格恩西岛,,,,,,209,0,0,6
5,2020-04-29,圣马丁,,,,,,75,0,33,13
6,2020-04-29,蒙古,,,,,,38,0,10,0
7,2020-04-29,荷属安的列斯,,,,,,16,0,11,1
8,2020-04-29,北马里亚纳,,,,,,14,0,0,2
9,2020-04-29,福克兰群岛（马尔维纳斯）,,,,,,13,0,11,0
10,2020-04-29,毛利塔尼亚,,,,,,8,0,6,1
11,2020-04-29,安道尔,AD,,,,,743,0,398,41
12,2020-04-29,阿联酋,AE,,,,,11380,0,2181,89
13,2020-04-29,阿富汗,AF,,,,,1939,0,252,60
14,2020-04-29,安提瓜和巴布达,AG,,,,,24,0,11,3
15,2020-04-29,安圭拉,AI,,,,,3,0,3,0
16,2020-04-29,阿尔巴尼亚,AL,,,,,766,0,431,30
17,2020-04-29,亚美尼亚,AM,,,,,1932,0,900,30
18,2020-04-29,安哥拉,AO,,,,,27,0,6,2
19,2020-04-29,阿根廷,AR,,,,,4127,0,1162,207
20,2020-04-29,奥地利,AT,,,,,15402,0,12779,580
21,2020-04-29,澳大利亚,AU,,,,,6746,0,5667,89
22,2020-04-29,阿鲁巴,AW,,,,,100,0,73,2
23,2020-04-29,阿塞拜疆,AZ,,,,,1717,0,1221,22
24,2020-04-29,巴巴多斯,BB,,,,,80,0,39,6
25,2020-04-29,孟加拉国,BD,,,,,7103,0,150,163
26,2020-04-29,比利时,BE,,,,,47859,0,11283,7501
27,2020-04-29,布基纳法索,BF,,,,,638,0,476,42
28,2020-04-29,保加利亚,BG,,,,,1437,0,243,61
29,2020-04-29,巴林,BH,,,,,2896,0,1370,8
30,2020-04-29,布隆迪,BI,,,,,12,0,4,1
31,2020-04-29,贝宁,BJ,,,,,64,0,33,1
32,2020-04-29,圣巴泰勒米,BL,,,,,6,0,6,0
33,2020-04-29,百慕大,BM,,,,,110,0,44,6
34,2020-04-29,文莱,BN,,,,,138,0,119,1
35,2020-04-29,玻利维亚,BO,,,,,1053,0,110,55
36,2020-04-29,巴西,BR,,,,,73235,0,32544,5083
37,2020-04-29,巴哈马,BS,,,,,80,0,23,11
38,2020-04-29,不丹,BT,,,,,7,0,5,0
39,2020-04-29,博茨瓦纳,BW,,,,,23,0,0,1
40,2020-04-29,白俄罗斯,BY,,,,,13181,0,2072,84
41,2020-04-29,伯利兹,BZ,,,,,18,0,6,2
42,2020-04-29,加拿大,CA,,,,,50026,0,19190,2859
43,2020-04-29,刚果（金）,CD,,,,,491,0,59,30
44,2020-04-29,中非,CF,,,,,19,0,10,0
45,2020-04-29,刚果（布）,CG,,,,,207,0,19,8
46,2020-04-29,瑞士,CH,,,,,29407,0,22600,1699
47,2020-04-29,科特迪瓦,CI,,,,,1183,0,525,14
48,2020-04-29,智利,CL,,,,,14365,0,7710,207
49,2020-04-29,喀麦隆,CM,,,,,1806,0,915,59
589,2020-04-29,哥伦比亚,CO,,,,,5949,0,1268,269
590,2020-04-29,哥斯达黎加,CR,,,,,705,0,306,6
591,2020-04-29,古巴,CU,,,,,1437,0,575,58
592,2020-04-29,佛得角,CV,,,,,114,0,2,1
593,2020-04-29,塞浦路斯,CY,,,,,837,0,148,15
594,2020-04-29,捷克,CZ,,,,,7504,0,2948,227
595,2020-04-29,德国,DE,,,,,160479,0,126346,6395
596,2020-04-29,吉布提,DJ,,,,,1077,0,599,2
597,2020-04-29,丹麦,DK,,,,,9049,0,6313,434
598,2020-04-29,多米尼克,DM,,,,,16,0,13,0
599,2020-04-29,多米尼加,DO,,,,,6416,0,1165,286
600,2020-04-29,阿尔及利亚,DZ,,,,,3649,0,1651,437
601,2020-04-29,厄瓜多尔,EC,,,,,24258,0,1557,837
602,2020-04-29,爱沙尼亚,EE,,,,,1666,0,240,50
603,2020-04-29,埃及,EG,,,,,5042,0,1304,359
604,2020-04-29,厄立特里亚,ER,,,,,39,0,19,0
605,2020-04-29,西班牙,ES,,,,,236108,0,108947,24275
606,2020-04-29,埃塞俄比亚,ET,,,,,130,0,58,3
607,2020-04-29,芬兰,FI,,,,,4906,0,2800,199
608,2020-04-29,斐济,FJ,,,,,18,0,12,0
609,2020-04-29,法罗群岛,FO,,,,,187,0,178,0
610,2020-04-29,法国,FR,,,,,169052,0,46394,23694
611,2020-04-29,加蓬,GA,,,,,238,0,53,3
612,2020-04-29,英国,GB,,,,,162350,0,1918,21745
613,2020-04-29,格林纳达,GD,,,,,19,0,10,0
614,2020-04-29,格鲁吉亚,GE,,,,,517,0,168,6
615,2020-04-29,法属圭亚那,GF,,,,,125,0,93,1
616,2020-04-29,加纳,GH,,,,,1671,0,188,16
617,2020-04-29,直布罗陀,GI,,,,,141,0,131,1
618,2020-04-29,格陵兰,GL,,,,,11,0,11,0
619,2020-04-29,冈比亚,GM,,,,,10,0,8,1
620,2020-04-29,几内亚,GN,,,,,1240,0,269,7
621,2020-04-29,瓜德罗普,GP,,,,,149,0,82,12
622,2020-04-29,赤道几内亚,GQ,,,,,315,0,9,1
623,2020-04-29,希腊,GR,,,,,2566,0,577,138
624,2020-04-29,危地马拉,GT,,,,,557,0,62,16
625,2020-04-29,关岛,GU,,,,,141,0,97,5
626,2020-04-29,几内亚比绍,GW,,,,,73,0,18,1
627,2020-04-29,圭亚那,GY,,,,,74,0,15,8
628,2020-04-29,洪都拉斯,HN,,,,,738,0,79,66
629,2020-04-29,克罗地亚,HR,,,,,2062,0,1288,67
630,2020-04-29,海地,HT,,,,,76,0,8,6
631,2020-04-29,匈牙利,HU,,,,,2727,0,536,300
632,2020-04-29,印度尼西亚,ID,,,,,9771,0,1391,784
633,2020-04-29,爱尔兰,IE,,,,,19877,0,9233,1159
634,2020-04-29,以色列,IL,,,,,15782,0,7929,212
635,2020-04-29,印度,IN,,,,,31787,0,7796,1008
636,2020-04-29,伊拉克,IQ,,,,,1928,0,1319,90
637,2020-04-29,伊朗,IR,,,,,93657,0,73791,5957
638,2020-04-29,冰岛,IS,,,,,1797,0,1656,10
639,2020-04-29,意大利,IT,,,,,201505,0,68941,27359
640,2020-04-29,牙买加,JM,,,,,381,0,29,7
641,2020-04-29,约旦,JO,,,,,449,0,348,8
642,2020-04-29,日本,JP,,,,,14116,0,3187,435
643,2020-04-29,肯尼亚,KE,,,,,384,0,129,14
644,2020-04-29,吉尔吉斯斯坦,KG,,,,,729,0,437,8
645,2020-04-29,柬埔寨,KH,,,,,122,0,119,0
646,2020-04-29,圣基茨和尼维斯,KN,,,,,15,0,4,0
647,2020-04-29,韩国,KR,,,,,10761,0,8922,246
648,2020-04-29,科威特,KW,,,,,3740,0,1389,24
649,2020-04-29,开曼群岛,KY,,,,,70,0,10,1
650,2020-04-29,哈萨克斯坦,KZ,,,,,3105,0,798,25
651,2020-04-29,老挝,LA,,,,,19,0,7,0
652,2020-04-29,黎巴嫩,LB,,,,,721,0,150,24
653,2020-04-29,圣卢西亚,LC,,,,,15,0,15,0
654,2020-04-29,列支敦士登,LI,,,,,82,0,55,1
655,2020-04-29,斯里兰卡,LK,,,,,622,0,134,7
656,2020-04-29,利比里亚,LR,,,,,141,0,45,16
657,2020-04-29,立陶宛,LT,,,,,1375,0,563,45
658,2020-04-29,卢森堡,LU,,,,,3741,0,3123,89
659,2020-04-29,拉脱维亚,LV,,,,,849,0,348,15
660,2020-04-29,利比亚,LY,,,,,61,0,18,2
661,2020-04-29,摩洛哥,MA,,,,,4289,0,890,167
662,2020-04-29,摩纳哥,MC,,,,,95,0,42,4
663,2020-04-29,摩尔多瓦,MD,,,,,3638,0,975,107
664,2020-04-29,黑山,ME,,,,,321,0,199,7
665,2020-04-29,马达加斯加,MG,,,,,128,0,82,0
666,2020-04-29,北马其顿,MK,,,,,1442,0,627,73
667,2020-04-29,马里,ML,,,,,424,0,122,24
668,2020-04-29,缅甸,MM,,,,,150,0,16,6
669,2020-04-29,马提尼克,MQ,,,,,175,0,77,14
670,2020-04-29,蒙特塞拉特,MS,,,,,11,0,2,1
671,2020-04-29,马耳他,MT,,,,,463,0,339,4
672,2020-04-29,毛里求斯,MU,,,,,334,0,303,10
673,2020-04-29,马尔代夫,MV,,,,,256,0,17,0
674,2020-04-29,马拉维,MW,,,,,36,0,5,3
675,2020-04-29,墨西哥,MX,,,,,16752,0,11423,1569
676,2020-04-29,马来西亚,MY,,,,,5945,0,4087,100
677,2020-04-29,莫桑比克,MZ,,,,,76,0,12,0
678,2020-04-29,新喀里多尼亚,NC,,,,,18,0,17,0
679,2020-04-29,尼日尔,NE,,,,,709,0,403,31
680,2020-04-29,尼日利亚,NG,,,,,1532,0,255,44
681,2020-04-29,尼加拉瓜,NI,,,,,13,0,7,3
682,2020-04-29,荷兰,NL,,,,,38802,0,322,4711
683,2020-04-29,挪威,NO,,,,,7619,0,32,206
684,2020-04-29,尼泊尔,NP,,,,,57,0,16,0
685,2020-04-29,新西兰,NZ,,,,,1474,0,1229,19
686,2020-04-29,阿曼,OM,,,,,2274,0,364,10
687,2020-04-29,巴拿马,PA,,,,,6200,0,484,176
688,2020-04-29,秘鲁,PE,,,,,31190,0,9179,854
689,2020-04-29,法属波利尼西亚,PF,,,,,58,0,49,0
690,2020-04-29,巴布亚新几内亚,PG,,,,,8,0,0,0
691,2020-04-29,菲律宾,PH,,,,,8212,0,1023,558
692,2020-04-29,巴基斯坦,PK,,,,,15289,0,3425,335
693,2020-04-29,波兰,PL,,,,,12415,0,3025,606
694,2020-04-29,圣皮埃尔和密克隆,PM,,,,,1,0,0,0
695,2020-04-29,波多黎各,PR,,,,,1416,0,0,77
696,2020-04-29,巴勒斯坦,PS,,,,,343,0,83,2
697,2020-04-29,葡萄牙,PT,,,,,24505,0,1470,973
698,2020-04-29,巴拉圭,PY,,,,,239,0,102,9
699,2020-04-29,卡塔尔,QA,,,,,12564,0,1243,10
700,2020-04-29,留尼汪,RE,,,,,418,0,300,0
701,2020-04-29,罗马尼亚,RO,,,,,11978,0,3569,681
702,2020-04-29,塞尔维亚,RS,,,,,8724,0,1292,173
703,2020-04-29,俄罗斯,RU,,,,,99399,0,10286,972
704,2020-04-29,卢旺达,RW,,,,,212,0,95,0
705,2020-04-29,沙特阿拉伯,SA,,,,,21402,0,2953,157
706,2020-04-29,塞舌尔,SC,,,,,11,0,6,0
707,2020-04-29,苏丹,SD,,,,,318,0,31,25
708,2020-04-29,瑞典,SE,,,,,20302,0,1005,2462
709,2020-04-29,新加坡,SG,,,,,15641,0,1128,14
710,2020-04-29,斯洛文尼亚,SI,,,,,1418,0,230,89
711,2020-04-29,斯洛伐克,SK,,,,,1391,0,484,22
712,2020-04-29,塞拉利昂,SL,,,,,104,0,12,4
713,2020-04-29,圣马力诺,SM,,,,,563,0,69,41
714,2020-04-29,塞内加尔,SN,,,,,882,0,315,9
715,2020-04-29,索马里,SO,,,,,528,0,19,28
716,2020-04-29,苏里南,SR,,,,,10,0,7,1
717,2020-04-29,南苏丹,SS,,,,,34,0,0,0
718,2020-04-29,圣多美和普林西比,ST,,,,,8,0,4,0
719,2020-04-29,萨尔瓦多,SV,,,,,377,0,106,9
720,2020-04-29,叙利亚,SY,,,,,43,0,21,3
721,2020-04-29,斯威士兰,SZ,,,,,71,0,10,1
722,2020-04-29,特克斯和凯科斯群岛,TC,,,,,12,0,5,1
723,2020-04-29,乍得,TD,,,,,52,0,19,2
724,2020-04-29,多哥,TG,,,,,99,0,63,6
725,2020-04-29,泰国,TH,,,,,2947,0,2665,54
726,2020-04-29,东帝汶,TL,,,,,24,0,6,0
727,2020-04-29,突尼斯,TN,,,,,975,0,279,40
728,2020-04-29,土耳其,TR,,,,,114653,0,38809,2992
729,2020-04-29,特立尼达和多巴哥,TT,,,,,116,0,59,8
730,2020-04-29,坦桑尼亚,TZ,,,,,480,0,167,16
731,2020-04-29,乌克兰,UA,,,,,9866,0,1103,250
732,2020-04-29,乌干达,UG,,,,,79,0,52,0
