,date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
0,2020-05-03,波黑,,,,,,1857,0,825,77
1,2020-05-03,钻石公主号邮轮,,,,,,712,0,645,13
2,2020-05-03,英国属地曼岛,,,,,,320,0,271,22
3,2020-05-03,泽西岛,,,,,,280,0,0,19
4,2020-05-03,格恩西岛,,,,,,209,0,0,6
5,2020-05-03,圣马丁,,,,,,76,0,44,13
6,2020-05-03,蒙古,,,,,,39,0,10,0
7,2020-05-03,荷属安的列斯,,,,,,16,0,11,1
8,2020-05-03,北马里亚纳,,,,,,14,0,0,2
9,2020-05-03,福克兰群岛（马尔维纳斯）,,,,,,13,0,13,0
10,2020-05-03,毛利塔尼亚,,,,,,8,0,6,1
11,2020-05-03,安道尔,AD,,,,,747,0,472,44
12,2020-05-03,阿联酋,AE,,,,,14163,0,2763,126
13,2020-05-03,阿富汗,AF,,,,,2704,0,345,85
14,2020-05-03,安提瓜和巴布达,AG,,,,,25,0,15,3
15,2020-05-03,安圭拉,AI,,,,,3,0,3,0
16,2020-05-03,阿尔巴尼亚,AL,,,,,795,0,531,31
17,2020-05-03,亚美尼亚,AM,,,,,2386,0,1035,35
18,2020-05-03,安哥拉,AO,,,,,35,0,11,2
19,2020-05-03,阿根廷,AR,,,,,4681,0,1354,241
20,2020-05-03,奥地利,AT,,,,,15597,0,13228,598
21,2020-05-03,澳大利亚,AU,,,,,6801,0,5817,95
22,2020-05-03,阿鲁巴,AW,,,,,100,0,81,2
23,2020-05-03,阿塞拜疆,AZ,,,,,1932,0,1441,25
24,2020-05-03,巴巴多斯,BB,,,,,81,0,39,7
25,2020-05-03,孟加拉国,BD,,,,,9455,0,177,177
26,2020-05-03,比利时,BE,,,,,49906,0,12309,7844
27,2020-05-03,布基纳法索,BF,,,,,652,0,535,44
28,2020-05-03,保加利亚,BG,,,,,1611,0,308,72
29,2020-05-03,巴林,BH,,,,,3356,0,1717,8
30,2020-05-03,布隆迪,BI,,,,,15,0,7,1
31,2020-05-03,贝宁,BJ,,,,,90,0,42,2
32,2020-05-03,圣巴泰勒米,BL,,,,,6,0,6,0
33,2020-05-03,百慕大,BM,,,,,114,0,48,6
34,2020-05-03,文莱,BN,,,,,138,0,124,1
35,2020-05-03,玻利维亚,BO,,,,,1470,0,159,71
36,2020-05-03,巴西,BR,,,,,97100,0,40937,6761
37,2020-05-03,巴哈马,BS,,,,,83,0,25,11
38,2020-05-03,不丹,BT,,,,,7,0,5,0
39,2020-05-03,博茨瓦纳,BW,,,,,23,0,8,1
40,2020-05-03,白俄罗斯,BY,,,,,16705,0,3196,99
41,2020-05-03,伯利兹,BZ,,,,,18,0,13,2
42,2020-05-03,加拿大,CA,,,,,57926,0,23795,3684
43,2020-05-03,刚果（金）,CD,,,,,674,0,75,33
44,2020-05-03,中非,CF,,,,,72,0,10,0
45,2020-05-03,刚果（布）,CG,,,,,229,0,25,9
46,2020-05-03,瑞士,CH,,,,,29905,0,24200,1762
47,2020-05-03,科特迪瓦,CI,,,,,1362,0,622,15
48,2020-05-03,智利,CL,,,,,18435,0,9572,247
